16.49 -17.89 -12.75 -0.05 -19.33 -17.11 -26.47 -23.53 -3.00 16.84 -14.89 -3.86 -47.90 -0.91 -32.14 9.46 -37.03 -25.55 10.23 -14.07 -25.45 -16.94 -7.52 22.14 -5.28 25.35 30.14 6.13
-50.90 -21.03 -12.55 27.84 13.67 39.35 -7.59 9.68 7.88 2.11 0.26 20.61 -0.43 -16.27 -31.50 -24.30 -24.99 48.42 -4.93 3.62 27.30 7.48 -3.23 26.45 -10.51 -23.31 -7.08 -1.40
-29.10 -9.09 -5.35 -8.53 17.03 9.56 -30.89 43.93 19.22 13.07 -20.76 11.14 6.23 8.16 8.44 -28.04 4.87 -1.95 -6.42 1.36 -1.66 0.96 8.36 -0.65 -10.33 -5.47 -16.43 15.61
4.10 26.17 -18.49 -9.11 5.28 -0.62 -0.31 -9.75 1.24 -20.58 10.23 -5.74 9.75 -11.80 10.28 -12.99 24.28 -1.40 41.02 -12.19 48.01 17.69 19.19 5.65 -10.67 8.05 -6.77 -15.49
-7.66 -0.80 -33.07 -5.79 -14.68 5.48 -18.19 -2.77 10.29 18.06 22.13 42.02 49.49 48.16 17.53 45.88 9.31 42.34 18.36 26.83 -8.05 32.15 -19.81 10.83 -11.72 55.31 29.70 16.62
19.05 -4.74 33.16 -21.94 16.28 44.26 3.44 -24.75 18.86 -15.83 -16.81 51.70 21.59 34.73 52.09 9.33 37.98 48.43 12.49 44.36 21.56 8.52 7.14 -18.07 -0.10 0.60 -9.33 18.17
-22.91 -19.45 -13.57 13.30 10.16 4.79 -7.92 15.85 -21.39 29.51 -0.83 11.97 -1.54 11.53 -11.23 23.72 -22.81 17.41 -6.54 37.53 6.16 -4.37 44.42 -16.20 -15.95 -26.92 -41.52 11.82
24.17 19.97 14.09 25.54 0.50 7.74 4.11 -5.24 31.07 -4.93 -5.79 -5.29 -11.30 12.61 -6.88 33.62 22.78 6.07 39.96 -30.26 -0.67 -8.94 3.04 8.92 5.68 -8.16 -7.07 -23.56
-37.00 41.65 11.61 13.50 -3.98 0.26 29.96 33.21 17.06 22.41 5.24 3.67 6.89 28.19 -22.68 -27.60 36.21 -4.35 16.52 40.49 -16.60 48.12 -14.84 19.88 16.53 24.48 32.84 -25.20
-11.97 16.22 -0.16 -18.10 11.06 28.39 11.36 2.78 22.14 -16.91 -17.97 5.43 -17.49 10.79 -12.90 -19.38 -27.20 11.54 -3.30 21.67 20.92 40.90 32.06 71.15 33.36 15.54 -46.22 -12.55
10.25 7.11 24.35 1.64 12.49 -4.41 34.56 38.87 7.51 5.68 24.94 -2.75 14.31 13.97 24.37 -15.52 -34.16 -12.45 3.34 29.10 42.34 8.68 34.60 51.64 -2.31 43.18 2.43 1.80
-8.87 42.42 -7.84 -0.11 20.58 33.24 15.57 26.28 46.68 22.57 34.11 32.29 39.94 41.37 96.66 8.84 -31.79 -29.26 -5.83 8.32 23.37 7.74 62.97 59.34 1.58 -2.21 -16.15 1.98
17.05 -31.89 -17.09 0.08 52.85 37.55 17.82 34.85 5.66 58.35 29.57 33.19 0.90 73.16 94.17 9.95 11.43 -13.70 -13.57 1.81 10.09 32.32 45.56 49.64 52.74 8.94 -4.62 4.52
-40.75 -21.77 2.53 -43.90 -22.57 3.38 25.29 -25.03 20.62 8.35 8.04 -15.35 42.28 50.11 61.71 36.25 26.37 1.77 39.80 26.28 10.51 26.02 22.81 20.07 21.32 -4.76 -14.38 -19.48
-40.65 9.61 -17.96 -17.27 -7.71 -17.16 -7.97 -5.39 16.67 -27.34 -30.64 8.05 26.93 52.81 46.31 7.12 9.79 -6.36 -2.98 4.08 -13.64 -47.65 -39.95 -0.11 -41.13 18.72 11.36 -15.04
-7.90 20.09 24.74 -24.33 -34.88 -18.93 -0.60 -29.65 4.95 -13.47 8.22 24.51 65.98 58.20 23.52 0.83 23.48 -6.31 -17.33 -12.88 -32.88 -2.21 -38.10 29.14 18.85 15.74 -31.06 -6.44
20.78 -14.62 16.04 -14.22 -7.91 -26.63 -40.42 4.36 -10.77 34.10 10.28 27.79 49.57 21.28 14.44 7.96 12.59 -33.07 -24.94 -8.68 -46.85 -45.01 -22.19 10.99 8.38 9.08 -15.70 1.66
-11.82 21.45 1.29 -40.31 -23.62 -6.54 -15.28 -20.73 35.03 31.04 24.55 30.33 48.81 30.09 5.88 -37.33 8.56 -25.24 -38.40 -7.86 -20.29 -8.95 0.97 48.53 1.88 -23.57 36.80 -22.77
-24.03 26.90 1.94 -16.32 -45.94 -7.78 31.32 -6.54 -8.36 14.63 24.57 33.20 21.55 17.94 -23.76 -64.91 -7.32 -40.11 -28.45 -15.39 4.26 -2.60 28.08 1.42 -23.32 -40.24 7.76 -21.54
2.38 27.33 19.70 -21.97 -33.47 7.69 -12.37 8.66 31.17 47.96 69.53 -44.54 -37.34 -16.82 -22.90 -14.56 17.37 -9.51 12.57 -14.56 1.31 7.37 42.11 11.16 -44.91 -12.53 -12.77 16.48
-62.73 11.14 -10.00 44.17 -19.38 -14.71 55.65 41.09 7.18 -5.58 14.06 10.78 18.31 -19.44 -11.70 13.04 -55.36 28.28 10.03 -10.09 33.77 37.95 49.59 -6.44 -29.55 -3.45 -22.39 -3.71
-32.27 -13.01 -15.87 -13.44 40.11 21.43 41.01 35.68 20.59 52.06 -1.93 5.85 4.57 20.00 18.59 -7.62 -1.69 -18.23 9.10 0.43 25.67 40.99 2.37 -0.81 -15.12 -3.07 7.37 -3.72
-34.04 -17.31 -35.47 15.50 -40.00 -12.58 18.55 37.50 3.09 -5.96 28.19 11.17 15.42 26.33 26.27 -1.63 -22.14 6.20 -8.06 31.77 22.99 -5.61 -3.09 37.77 4.80 37.07 -17.68 20.73
-12.34 -7.60 6.73 33.17 -9.07 15.66 -21.92 12.85 19.89 12.38 -2.19 9.60 22.20 60.01 4.38 62.62 52.97 19.53 12.35 -0.78 -4.63 17.20 -49.20 4.25 20.99 18.64 32.08 -1.09
16.26 -10.01 -21.12 -5.64 -34.36 -14.32 -3.94 -12.58 5.05 8.30 9.54 48.10 27.43 22.92 21.85 35.22 32.79 36.87 14.46 32.28 -1.21 -21.94 15.69 11.98 -21.54 -47.06 5.95 -14.87
-22.34 30.48 -18.03 -2.71 9.55 -16.02 -0.98 -20.10 -31.06 10.91 -6.95 -4.50 14.83 32.90 33.91 33.48 23.87 9.91 23.42 9.22 -21.88 -33.27 21.87 -1.68 -19.54 -19.99 7.79 1.74
-24.54 -4.36 -13.08 -28.23 -34.60 15.20 11.75 25.61 -1.87 -20.43 41.17 31.54 -6.24 29.00 36.43 13.33 4.42 16.85 -11.23 -3.28 -4.73 7.62 22.97 10.09 -11.72 -47.94 8.89 6.79
-48.89 7.26 9.39 -6.65 -2.27 7.14 5.69 26.99 -11.29 -15.47 -7.69 27.44 -31.25 9.29 -13.74 3.99 -14.17 27.02 3.28 -1.07 -19.19 4.09 -2.35 34.97 -3.39 -1.24 -38.75 2.70
